Nom du deck,URL,Winner
Afanas C,https://altered.re/pages/deck?id=019e1c0b-96e2-731f-b5a8-b41178e20c81,
Arjun G,https://altered.re/pages/deck?id=019e1c0b-a5ba-7db9-bfb2-201f12afec22,
Arjun E,https://altered.re/pages/deck?id=019e1c0b-a796-7a95-b900-60e0a0061d65,
Akesha C,https://altered.re/pages/deck?id=019e1c0b-a8ee-71c4-9e47-3428c72d679a,
Akesha A,https://altered.re/pages/deck?id=019e1c0b-ac7e-7ac1-8df2-29e0124266ff,
Turuun I,https://altered.re/pages/deck?id=019e1c0b-b0e8-78d0-8520-db162463b961,
Fen E,https://altered.re/pages/deck?id=019e1c0a-c0d6-7ab4-a867-804cf4a900f3,1
Fen F,https://altered.re/pages/deck?id=019e1c0a-c4d8-7a13-9486-3b1ec29a8a96,
Fen G,https://altered.re/pages/deck?id=019e1c0a-c6fd-7be9-aa20-1277e4989482,
Gulrang C,https://altered.re/pages/deck?id=019e1c0a-ceee-79b2-95d3-381d9a307106,
Basira A,https://altered.re/pages/deck?id=019e1c0a-d794-7d45-add4-0702fdc73833,
Arjun F,https://altered.re/pages/deck?id=019e1c0a-d92e-7c30-8089-c4da8e113699,
Kauri A,https://altered.re/pages/deck?id=019e1c0a-e12c-7477-ac57-6260072b0430,1
Kauri B,https://altered.re/pages/deck?id=019e1c0a-e2ad-7a38-8a5b-9ce8d8388168,
Kauri C,https://altered.re/pages/deck?id=019e1c0a-e408-7a22-ad39-e109c221746d,
Kauri D,https://altered.re/pages/deck?id=019e1c0a-e648-7f0b-8043-3751d0a2163a,
Kauri H,https://altered.re/pages/deck?id=019e1c0a-ecaa-7b40-ab40-bc7920daac53,
Kauri I,https://altered.re/pages/deck?id=019e1c0a-edfb-7ed3-a82e-820f4264c421,
Kojo A,https://altered.re/pages/deck?id=019e1c0a-ef42-78bb-bd32-cfe40dca8a37,1
Kojo B,https://altered.re/pages/deck?id=019e1c0a-f0af-7320-b718-1a5c0928e239,
Kojo C,https://altered.re/pages/deck?id=019e1c0a-f22a-7d4d-808f-f750542e34cf,
